S No,Vehicle_Class,CNG ONLY,DIESEL,DIESEL/HYBRID,DI-METHYL ETHER,DUAL DIESEL/BIO CNG,DUAL DIESEL/CNG,DUAL DIESEL/LNG,ELECTRIC(BOV),ETHANOL,FUEL CELL HYDROGEN,LNG,LPG ONLY,METHANOL,NOT APPLICABLE,PETROL,PETROL/CNG,PETROL/ETHANOL,PETROL/HYBRID,PETROL/LPG,PETROL/METHANOL,SOLAR,     TOTAL     ,State
1.0,ADAPTED VEHICLE,0,70,0,0,0,0,0,0,0,0,0,0,0,1,251,40,0,1,5,0,0,368,Haryana
2.0,AGRICULTURAL TRACTOR,1,554798,1,0,0,0,0,50,0,0,0,0,0,20890,3908,57,0,0,32,0,28,579765,Haryana
3.0,AMBULANCE,7,3026,0,0,0,0,0,0,0,0,0,1,0,3,1963,136,0,0,34,0,0,5170,Haryana
4.0,ANIMAL AMBULANCE,2,44,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,48,Haryana
5.0,ARMOURED/SPECIALISED VEHICLE,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Haryana
6.0,ARTICULATED VEHICLE,17,535,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,561,Haryana
7.0,BREAKDOWN VAN,3,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,Haryana
8.0,BULLDOZER,0,159,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,160,Haryana
9.0,BUS,5331,39867,1,0,0,0,0,7,0,0,0,0,0,50,136,22,0,0,2,0,10,45426,Haryana
10.0,CAMPER VAN / TRAILER,1,241,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,244,Haryana
11.0,CAMPER VAN / TRAILER (PRIVATE USE),4,1411,0,0,0,0,0,0,0,0,0,0,0,44,26,0,0,0,0,0,0,1485,Haryana
12.0,CASH VAN,111,147,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,266,Haryana
13.0,CONSTRUCTION EQUIPMENT VEHICLE,1,1949,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,1990,Haryana
