State,ELECTRIC(BOV)
Sikkim,0.7777777777777778
Meghalaya,1.2291666666666667
Himachal Pradesh,21.816666666666666
Puducherry,42.74074074074074
Jammu & Kashmir,69.76785714285714
Madhya Pradesh,74.28571428571429
Chandigarh,91.25714285714285
Andhra Pradesh,239.34545454545454
Chattisgarh,391.8360655737705
Odisha,403.4029850746269
Kerala,524.8985507246376
Uttarakhand,575.8448275862069
Haryana,610.2537313432836
Gujarat,785.0714285714286
West Bengal,801.2727272727273
Assam,1180.0166666666667
Tamil Nadu,1371.3382352941176
Rajasthan,1380.7910447761194
Bihar,1529.5666666666666
Maharashtra,1894.943661971831
Karnataka,1924.4857142857143
Delhi,4348.921052631579
Uttar Pradesh,5194.4857142857145
